wfpp,wikidata,label
https://wfpp.columbia.edu/person/florence-lawrence/,Q256968,Florence Lawrence
https://wfpp.columbia.edu/person/florence-turner/,Q1975914,Florence Turner
https://wfpp.columbia.edu/person/flossie-a-jones/,,
https://wfpp.columbia.edu/person/frances-baker-farrell/,Q89043140,Frances Baker Farrell
https://wfpp.columbia.edu/person/frances-flaherty/,,
https://wfpp.columbia.edu/person/frances-marion/,Q463883,Frances Marion
https://wfpp.columbia.edu/person/frances-peck/,Q106642694,Frances Peck Grover
https://wfpp.columbia.edu/person/frances-taylor-patterson/,,
https://wfpp.columbia.edu/person/francesca-bertini/,Q434941,Francesca Bertini
https://wfpp.columbia.edu/person/frederica-sagor-maas/,Q262549,Frederica Sagor Maas
https://wfpp.columbia.edu/person/gaby-von-bussenius-vega/,Q70876843,Gabriela Bussenius
https://wfpp.columbia.edu/person/gale-henry/,Q5518277,Gale Henry
https://wfpp.columbia.edu/person/gemma-bellincioni/,Q289629,Gemma Bellincioni
https://wfpp.columbia.edu/person/gene-gauntier/,Q958743,Gene Gauntier
https://wfpp.columbia.edu/person/genevieve-harris/,,
https://wfpp.columbia.edu/person/georgette-melies/,Q99363771,Georgette Méliès
https://wfpp.columbia.edu/person/gerd-egede-nissen/,Q4588079,Gerd Grieg
https://wfpp.columbia.edu/person/gerda-hintze/,Q80829625,Gerda Hintze
https://wfpp.columbia.edu/person/gertrude-atherton/,Q137679,Gertrude Atherton
https://wfpp.columbia.edu/person/gertrude-homan-thanhouser/,Q3761330,Gertrude Thanhouser
https://wfpp.columbia.edu/person/gertrude-price/,,
https://wfpp.columbia.edu/person/giulia-cassini-rizzotto/,Q3769244,Giulia Cassini Rizzotto
https://wfpp.columbia.edu/person/gladys-hall/,Q27781210,Gladys Hall
https://wfpp.columbia.edu/person/gladys-rosson/,Q89052038,Gladys Rosson
https://wfpp.columbia.edu/person/gloria-swanson/,Q229232,Gloria Swanson
https://wfpp.columbia.edu/person/grace-cunard/,Q2757658,Grace Cunard
https://wfpp.columbia.edu/person/greta-hakansson/,Q73984397,Greta Håkansson
https://wfpp.columbia.edu/person/gurly-drangsholt/,,
https://wfpp.columbia.edu/person/gwladys-marchioness-of-townshend/,Q47092257,Gwladys Sutherst Townshend
https://wfpp.columbia.edu/person/harriet-bloch/,Q4939552,Harriet Bloch
https://wfpp.columbia.edu/person/harriet-parsons/,Q60656254,Harriet Parsons
https://wfpp.columbia.edu/person/harriette-underhill/,Q107541519,Harriette Underhill
https://wfpp.columbia.edu/person/haydee-chikly/,Q16235561,Haydée Tamzali
https://wfpp.columbia.edu/person/hazel-burnett/,Q63900125,Hazel Burnett
https://wfpp.columbia.edu/person/helen-gardner/,Q3784506,Helen Gardner
https://wfpp.columbia.edu/person/helen-holmes/,Q2053185,Helen Holmes
https://wfpp.columbia.edu/person/helen-keller/,Q38203,Helen Keller
https://wfpp.columbia.edu/person/helen-wang/,Q48938103,Wang Hanlun
https://wfpp.columbia.edu/person/helen-wiggins/,,
https://wfpp.columbia.edu/person/helena-cortesina/,Q5893647,Helena Cortesina
https://wfpp.columbia.edu/person/helena-smith-dayton/,Q15999431,Helena Smith Dayton
https://wfpp.columbia.edu/person/henderina-victoria-scott/,Q59656531,Henderina Scott
https://wfpp.columbia.edu/person/hettie-gray-baker/,Q15998926,Hettie Gray Baker
https://wfpp.columbia.edu/person/hope-loring/,Q5899363,Hope Loring
https://wfpp.columbia.edu/person/hu-ping/,Q55662528,Hu Ping
https://wfpp.columbia.edu/person/ida-jenbach/,Q87236,Ida Jenbach
https://wfpp.columbia.edu/person/ida-may-park/,Q971059,Ida May Park
https://wfpp.columbia.edu/person/irene-morra/,Q17306788,Irene Morra
https://wfpp.columbia.edu/person/iris-barry/,Q11282460,Iris Barry
https://wfpp.columbia.edu/person/isabel-acuna/,Q47583394,Isabel Acuña
https://wfpp.columbia.edu/person/isabel-mcdonagh/,Q6762924,Marie Lorraine
https://wfpp.columbia.edu/person/jackeydawra-melford/,,
https://wfpp.columbia.edu/person/jane-loring/,Q61717635,Jane Loring
https://wfpp.columbia.edu/person/jane-murfin/,Q436164,Jane Murfin
https://wfpp.columbia.edu/person/jeanie-macpherson/,Q452602,Jeanie MacPherson
https://wfpp.columbia.edu/person/jenny-gilbertson/,Q18954307,Jenny Gilbertson
https://wfpp.columbia.edu/person/jenny-stromberg/,Q89044859,Jenny Strömberg
https://wfpp.columbia.edu/person/jessica-elvira-borthwick/,Q63874455,Jessica Elvira Borthwick
https://wfpp.columbia.edu/person/josephine-clement/,Q99692733,Josephine Clement
https://wfpp.columbia.edu/person/josephine-lovett/,Q516408,Josephine Lovett
https://wfpp.columbia.edu/person/josephine-rector/,Q23614707,Josephine Rector
